,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
2524,T. Roberts,1,0,6.0,67.5,0.575,8.334999999999999,0,0,5
3467,M. Díaz,1,3,2.0,71.0,0.375,0.375,0,0,1
3800,F. Vega,1,0,1.0,68.5,1.1,1.75,0,0,2
448,Mika Mármol,1,2,16.0,80.5,15.5,10.990909090909092,0,0,4
3765,M. Frigan,1,0,5.0,74.0,3.1,1.8375,0,0,6
699,G. Prestianni,1,4,0.7,75.0,2.8,16.650000000000002,0,0,6
103,B. Brobbey,1,1,15.0,82.0,32.0,7.7056818181818185,0,0,6
4827,J. Gullan,1,0,0.7,62.5,0.375,0.35,0,0,1
523,D. Kamada,2,3,60.0,81.5,30.5,15.7,0,0,5
3017,22 Hwang In beom,1,3,5.0,74.5,3.5,1.8666666666666665,0,0,1
3851,C. Hughes,1,1,2.0,70.0,1.4,0.9500000000000001,0,0,8
1102,M. Faye,1,0,6.0,71.0,1.1,30.885714285714283,0,0,5
1821,A. Diallo,1,2,11.0,64.5,0.4,16.398076923076925,0,0,3
1415,A. Carboni,1,2,19.0,75.0,3.3,7.2846153846153845,0,0,6
165,C. Summerville,1,4,31.0,80.0,17.0,5.6796875,0,0,7
4686,L. Lyratzis,1,0,0.6,72.5,2.2,2.965625,0,0,10
3308,S. May,1,0,2.0,61.0,0.325,0.6175,0,0,7
4295,V. Rodríguez,1,0,0.5,67.0,1.0,1.3625,0,0,3
3189,Medrán,1,6,38.0,79.0,17.0,7.784999999999999,0,0,4
2555,N. Romero,1,0,2.0,71.5,2.2,1.8,0,0,4
3383,F. Muslera,3,5,24.0,80.0,2.3,9.030555555555557,0,0,14
3962,N. Kutateladze,1,0,1.0,64.0,0.55,0.725,0,0,3
2499,Alex Rodríguez,1,0,3.0,64.0,0.475,8.358333333333333,0,0,5
395,B. Gilmour,1,0,46.0,77.0,6.0,7.848958333333333,0,0,5
625,R. Tapia,1,0,26.0,79.0,16.5,6.904411764705882,0,0,5
3997,B. Bouchouari,1,0,2.0,72.5,2.3,2.4805555555555556,0,0,4
947,M. Penders,1,0,0.5,73.0,1.3,4.861538461538462,0,0,7
761,T. Palacio,1,0,0.5,76.0,2.8,3.3666666666666667,0,0,3
3430,21 K. Huntelaar,3,2,18.0,73.0,1.0,1.43125,0,0,1
2739,C. Cheng,1,0,0.55,64.5,0.475,0.521875,0,0,3
1443,Rogério,1,0,31.0,75.0,4.9,11.129166666666666,0,0,5
4039,J. Pradic,1,0,0.5,65.5,0.325,1.2520833333333332,0,0,5
645,N. Milenković,2,2,50.0,80.5,20.5,11.290277777777778,0,0,11
1882,R. Slater,1,0,8.0,72.5,2.2,2.43,0,0,5
3802,D. Rankine,1,2,1.0,66.0,0.825,0.615,0,0,7
4806,F. Gerometta,1,2,3.0,68.5,1.2,2.26875,0,0,7
4147,M. van Brederode,1,4,4.0,74.0,3.0,5.2823529411764705,0,0,9
2598,T. Leoni,1,1,15.0,75.0,3.7,4.327272727272727,0,0,7
2541,B. Agbor,1,0,3.0,64.5,0.625,2.725,0,0,4
4594,F. Orozco,1,1,4.0,73.0,2.5,2.345833333333333,0,0,5
2822,22 B. Crellin,1,0,5.0,63.0,0.35,7.470535714285715,0,0,3
4474,22 M. González,1,0,2.0,65.5,0.725,2.0749999999999997,0,0,5
2286,D. Babb,1,1,0.5,64.0,0.3,0.163,0,0,8
4066,Fábio Ronaldo,1,0,7.0,75.5,4.2,2.2464285714285714,0,0,7
2827,D. Rossi,1,3,9.0,75.5,7.0,5.553571428571429,0,0,4
4207,23 L. van Gelderen,1,0,2.0,69.5,1.5,3.5,0,0,5
3268,M. Silva,1,2,0.5,75.0,0.625,2.03125,0,0,9
183,J. Bynoe-Gittens,1,3,12.0,80.0,10.0,21.90416666666667,0,0,7
3316,Lucas Piazón,1,3,14.0,73.0,3.0,7.761538461538462,0,0,5
4057,C. Harenbrock,1,0,2.0,66.5,0.95,0.5535714285714286,0,0,8
1169,Óscar Gil,1,2,5.0,70.5,1.7,3.5200000000000005,0,0,5
4470,22 A. Kostrzewski,1,0,0.55,60.0,0.21,0.21,0,0,4
4702,M. González,1,0,2.0,67.0,0.8,1.1083333333333334,0,0,6
1711,C. Savage,1,3,1.0,70.5,1.5,1.0074999999999998,0,0,5
4969,Ł. Bejger,1,1,2.0,72.0,2.0,1.455,0,0,5
1178,C. Grameni,1,0,5.0,74.5,3.0,1.21875,0,0,7
2129,23 D. Henry,1,1,2.0,66.0,0.725,2.624090909090909,0,0,2
2532,J. Fujita,1,0,3.0,71.5,2.2,2.397727272727273,0,0,5
397,Tetê,1,2,31.0,77.5,8.5,9.030555555555557,0,0,5
1291,O. Vlachodimos,1,1,55.0,79.0,12.0,10.733333333333333,0,0,5
3661,N. Asiimwe,1,0,0.6,64.5,0.45,1.00625,0,0,4
3971,Abel Bretones,1,4,4.0,72.5,2.7,1.7399999999999998,0,0,5
3458,23 R. Bertrand,2,1,38.0,71.0,1.3,4.782291666666667,0,0,3
1630,Suso,2,6,38.0,80.0,20.5,10.485,0,0,6
3096,R. Manning,1,3,34.0,74.0,4.1,2.775,0,0,5
4087,23 M. Kostka,1,0,0.5,68.0,0.725,0.6849999999999999,0,0,3
1289,N. Tagliafico,3,3,34.0,78.0,12.0,7.2823529411764705,0,0,4
3747,S. Jurić,1,0,1.0,61.0,0.325,0.55,0,0,4
4321,O. Al Othman,1,0,4.0,62.5,0.3,1.5925,0,0,6
901,Mario Hermoso,1,4,65.0,82.5,29.0,20.312037037037037,0,0,6
3748,23 J. Mena,1,0,0.5,63.5,0.275,0.275,0,0,5
571,M. Caqueret,2,4,30.0,79.0,15.0,7.2823529411764705,0,0,9
5045,B. Barr,1,0,0.5,55.5,0.14,0.163,0,0,5
4495,J. Ward,1,0,0.95,67.0,0.7,0.775,0,0,8
3366,Javi López,1,5,1.0,66.0,0.19,0.6679999999999999,0,0,5
2309,B. Rodríguez,1,0,6.0,75.0,3.4,4.74375,0,0,5
4817,Pablo Pérez,1,0,7.0,69.5,1.3,20.312037037037037,0,0,3
4829,L. Ahrend,1,0,0.5,64.5,0.625,0.6246153846153846,0,0,3
4814,M. Maciel,1,0,0.5,69.0,1.4,0.7999999999999999,0,0,7
1874,G. Zappa,1,2,11.0,72.5,2.2,3.9475000000000002,0,0,5
2742,V. Müller,1,1,0.85,70.0,1.7,1.4666666666666668,0,0,3
3271,M. Ryan,2,2,10.0,78.0,7.5,5.2823529411764705,0,0,2
4968,D. Sigér,1,0,0.5,68.0,0.8,2.7142857142857144,0,0,7
2167,E. Lee,1,1,6.0,66.0,0.85,0.7150000000000001,0,0,6
3437,G. İnler,3,1,7.0,69.0,0.275,3.7982142857142853,0,0,2
4468,F. Lakenmacher,1,0,1.0,65.5,0.725,0.705,0,0,3
3525,Miro,1,0,2.0,65.5,0.55,3.7125,0,0,3
4914,F. Calderón,1,1,7.0,72.5,2.1,2.26875,0,0,5
3115,Jason,1,2,7.0,72.0,2.4,2.875,0,0,2
3952,F. Bohnert,1,0,1.0,64.0,0.55,0.775,0,0,5
1937,E. Latte Lath,1,3,13.0,71.5,2.1,3.15,0,0,5
1321,F. Sidklev,1,0,0.5,69.5,0.725,0.8083333333333332,0,0,4
1125,Ł. Łakomy,1,2,7.0,73.0,2.6,2.7222222222222223,0,0,6
2511,A. Boakye,1,1,4.0,69.0,1.4,1.8333333333333333,0,0,7
1527,H. Vetlesen,1,0,14.0,76.0,4.4,7.3500000000000005,0,0,5
2458,S. Cisse,1,0,5.0,73.5,3.1,2.565,0,0,7
2495,Diogo Monteiro,1,0,2.0,70.0,0.65,5.6796875,0,0,4
3877,Busanello,1,4,6.0,75.5,4.3,1.8638888888888887,0,0,5
4794,21 N. González,1,0,0.5,61.5,0.375,4.885714285714286,0,0,5
1408,S. Rodríguez,1,4,6.0,75.0,3.7,2.4272727272727272,0,0,5
3272,J. Robinson,1,2,21.0,71.0,1.6,3.230882352941176,0,0,6
3137,Bruno Varela,1,0,8.0,75.0,3.6,3.2431818181818177,0,0,5
4836,J. Matete,1,3,8.0,67.5,1.1,3.171111111111111,0,0,5
2264,J. Johnson,1,0,0.5,71.0,0.85,3.1134615384615385,0,0,5
3749,T. Watson,1,0,0.65,59.5,0.18,3.171111111111111,0,0,4
2589,O. Nwobodo,1,1,7.0,74.0,3.4,4.706428571428572,0,0,3
1502,J. Ito,2,6,29.0,78.0,13.5,7.685714285714285,0,0,5
2538,H. Lintott,1,2,1.0,67.5,1.0,1.0,0,0,4
