,Name,Age,Growth,Weak foot,Skill moves,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Total_movement,Total_power,Total_defending,Avg_stats,Value_mill(€),TotalAttSkiMent,Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength,ContRemaining,AttDef
3004,P. Aránguiz,26,1,3,4,1,1,3.0,67.5,72.4,56.2,39.666666666666664,60.0,1.2,60.63333333333333,0.5775,0,0,4,0,1.5
693,A. Richardson,21,9,3,3,1,1,14.0,77.5,67.8,71.0,66.33333333333333,70.0,7.0,64.92222222222223,7.685714285714285,0,0,6,4,1.0
1181,H. Moldovan,25,5,2,1,1,1,22.0,74.5,52.0,43.4,13.666666666666666,66.0,2.7,20.855555555555558,20.312037037037037,0,0,4,4,1.0
2834,M. Amundsen,25,1,2,3,1,0,3.0,68.5,69.0,67.6,66.66666666666667,65.0,1.3,56.93333333333334,5.553571428571429,0,0,2,1,1.5
3599,N. Razi,16,23,4,3,1,0,0.5,64.5,67.2,48.4,39.666666666666664,51.166666666666664,0.3,48.51111111111111,1.95,0,0,3,3,1.0
649,N. Vlašić,25,2,5,3,2,2,52.0,80.0,79.6,76.8,51.0,73.66666666666667,22.5,73.81111111111112,12.97272727272727,0,0,5,4,1.0
4567,21 I. Pešić,28,0,4,3,1,2,2.0,64.0,65.8,56.6,26.0,56.833333333333336,0.6,55.07777777777778,0.7666666666666666,0,0,1,-2,1.0
1333,A. Saldivia,21,11,3,2,1,1,6.0,76.5,69.0,57.8,71.66666666666667,57.833333333333336,3.9,45.77777777777778,2.4916666666666667,0,0,6,3,1.5
4327,M. Cvjetinovic,19,9,3,2,1,0,1.0,69.5,58.2,54.8,67.0,51.333333333333336,1.4,40.97777777777778,1.025,0,0,3,2,1.0
420,Bruno Fernandes,28,0,3,4,4,9,220.0,87.0,77.2,79.0,65.33333333333333,77.33333333333333,80.0,82.67777777777776,15.333870967741936,1,1,7,3,2.0
2641,L. Oyen,20,10,3,3,1,2,5.0,73.0,76.0,56.0,38.666666666666664,60.333333333333336,2.6,57.76666666666667,4.861538461538462,0,0,9,4,1.0
5046,22 K. Ouattara,22,6,3,2,1,1,0.7,60.0,70.2,46.4,56.666666666666664,51.333333333333336,0.25,41.18888888888889,0.25,0,0,3,-1,1.0
4697,21 F. İmdat,18,19,3,2,1,0,2.0,65.5,55.8,53.4,17.666666666666668,45.666666666666664,0.375,45.34444444444444,0.375,0,0,3,-1,0.5
1229,R. Majecki,23,8,3,1,1,0,25.0,79.0,40.6,41.8,19.0,66.33333333333333,11.0,21.822222222222223,13.135,0,0,9,5,1.0
1089,H. Çalhanoğlu,29,0,4,3,3,4,140.0,86.0,77.2,75.8,71.0,76.66666666666667,66.0,80.68888888888888,31.868055555555557,0,0,7,4,2.0
2780,20 M. Pronichev,21,10,4,2,1,0,4.0,66.0,63.2,57.8,23.666666666666668,54.166666666666664,0.4,52.05555555555555,2.671875,0,0,3,-3,1.5
2754,P. Sander,25,2,3,3,1,1,15.0,72.0,70.6,67.4,62.333333333333336,65.83333333333333,2.3,62.37777777777779,1.8850000000000002,0,0,10,4,1.0
2746,Francisco Moura,23,5,2,3,1,0,6.0,74.5,70.8,60.4,70.33333333333333,67.33333333333333,3.3,64.13333333333334,4.214285714285714,0,0,6,4,1.5
4240,J. Lavega,18,8,3,3,1,2,0.5,70.0,74.4,53.4,28.0,56.666666666666664,1.8,53.08888888888888,4.885714285714286,0,0,2,0,1.0
1534,S. Dembélé,26,0,5,4,1,4,12.0,71.0,83.8,65.6,29.666666666666668,63.0,2.0,60.37777777777777,1.9719230769230771,0,0,4,3,1.0
2336,R. Pagano,18,17,3,3,1,1,3.0,70.5,64.0,49.2,52.0,55.833333333333336,1.0,55.86666666666667,14.482000000000001,0,0,4,3,1.0
3946,N. Mawene,18,15,4,2,1,0,2.0,66.5,63.2,52.8,49.333333333333336,57.833333333333336,0.525,55.4,1.2520833333333332,0,0,6,3,1.5
3850,V. Bergh,23,7,3,2,1,1,0.6,64.5,71.4,46.0,54.333333333333336,53.0,0.625,44.65555555555556,0.39666666666666667,0,0,3,2,1.0
3492,N. Adedeji-Sternberg,18,18,3,3,1,0,1.0,72.0,68.8,57.0,19.666666666666668,54.666666666666664,1.2,51.41111111111112,4.861538461538462,0,0,3,3,1.0
2305,M. Živković,19,16,3,2,1,0,0.5,73.0,67.6,54.2,64.66666666666667,56.666666666666664,1.7,45.888888888888886,2.1,0,0,7,4,1.5
960,R. Vargas,24,3,4,4,2,1,21.0,75.5,84.2,72.0,51.666666666666664,69.5,6.0,65.13333333333333,5.495588235294117,0,0,7,2,1.5
3313,A. Öztürk,29,0,3,3,1,2,5.0,67.0,61.0,72.6,64.0,61.0,0.85,55.23333333333333,0.9750000000000001,0,0,2,1,1.0
1164,B. Omeragić,21,10,3,2,1,1,12.0,78.0,70.0,65.0,72.0,64.66666666666667,6.5,57.15555555555556,4.533333333333333,0,0,6,5,2.0
371,Casemiro,31,0,3,2,4,5,160.0,85.0,64.6,82.6,84.0,75.33333333333333,37.5,76.28888888888889,15.333870967741936,1,1,5,3,1.5
1306,G. Chiellini,38,0,3,2,4,5,8.0,80.0,61.6,73.2,80.66666666666667,65.16666666666667,3.8,58.02222222222222,5.517857142857143,0,0,2,0,1.5
2993,J. Eggestein,25,2,4,3,1,0,11.0,71.0,66.4,68.8,29.333333333333332,61.5,2.0,65.04444444444445,1.7333333333333334,0,0,5,3,2.0
4988,21 L. Acevedo,23,6,3,2,1,0,0.5,59.0,65.8,57.8,47.666666666666664,55.5,0.23,50.166666666666664,2.4234615384615386,0,0,3,-2,0.5
3541,R. McCausland,20,13,3,4,1,0,12.0,73.5,76.4,48.2,26.666666666666668,56.166666666666664,2.5,53.0,4.0673076923076925,0,0,7,4,1.5
1575,N. Amiri,26,1,3,4,2,3,29.0,77.5,74.6,73.2,53.333333333333336,71.0,12.5,72.31111111111112,5.7942307692307695,0,0,5,5,1.5
3742,B. Martino,20,8,2,1,1,0,0.6,56.0,27.6,40.2,9.666666666666666,48.0,0.15,14.255555555555555,2.375,0,0,2,1,1.0
1484,A. Soñora,24,2,3,3,1,2,8.0,72.0,75.2,69.4,60.0,68.83333333333333,2.4,69.18888888888888,3.9,0,0,2,1,1.0
3834,C. Glover,16,24,3,2,1,0,0.5,62.0,62.2,44.4,12.666666666666666,42.666666666666664,0.15,39.72222222222222,3.8833333333333333,0,0,5,4,1.5
